,CATEGORY,TIME,MODALITY,SECTOR,SUBSECTOR
350,Car Crash,09:54,Speeding,4,4
351,Car Crash,10:23,Speeding,4,3
352,Car Crash,08:57,Driver Recklessness,3,3
353,People Falls,09:02,,1,1
354,Car Crash,11:01,Speeding,5,3
355,Car Crash,12:14,Speeding,5,1
356,Car Crash,10:56,Driver Recklessness,1,3
357,Car Crash,11:32,Driver Recklessness,2,2
358,Car Crash,15:04,Driver Recklessness,2,2
359,Car Crash,06:16,Driver Recklessness,1,1
360,Car Crash,10:43,Speeding,5,1
361,"Flood",08:52,,3,1
362,"Fires",14:50,,1,2
363,Car Crash,02:22,Driver Recklessness,5,1
365,Car Crash,22:25,Driver Recklessness,2,2
366,Car Crash,23:24,Speeding,4,1
367,Car Cluelessness,05:00,Driver Recklessness,1,1
368,Car Crash,14:06,Driver Recklessness,3,1
369,Car Crash,14:40,Driver Recklessness,5,4
370,Car Run Over People,16:04,Speeding,1,2
371,Car Rollover,15:00,Driver Recklessness,1,1
372,Car Run Over People,16:18,Imprudencia del peatón,1,2
402,Car Crash,08:38,Speeding,4,3
403,Car Crash,09:15,Speeding,3,2
404,"Fires",13:00,,3,2
405,Car Crash,13:52,Speeding,3,2
406,Car Crash,14:14,Driver Recklessness,4,1
407,Car Crash,08:24,Speeding,3,3
408,Car Crash,16:20,Driver Recklessness,4,4
409,Car Crash,06:48,Speeding,4,4
410,Car Crash,08:34,Speeding,1,3
411,Car Crash,09:11,Driver Recklessness,5,4
412,Car Crash,09:43,Driver Recklessness,4,2
413,Car Crash,13:02,Ebriedad del conductor,1,3
414,Car Cluelessness,10:48,Driver Recklessness,4,1
415,Car Crash,13:27,Driver Recklessness,4,2
416,Car Crash,08:19,Driver Recklessness,1,6
417,Car Crash,06:49,Speeding,4,3
418,Car Crash,10:56,Speeding,4,3
419,Car Crash,11:13,Speeding,4,3
420,Car Crash,14:55,Speeding,5,3
421,Car Crash,19:15,Driver Recklessness,1,5
423,Car Crash,12:21,Speeding,3,2
424,Car Cluelessness,16:34,Driver Recklessness,3,2
425,Car Cluelessness,06:25,Speeding,4,3
426,Car Crash,15:28,Driver Recklessness,5,4
427,Car Crash,15:59,Driver Recklessness,2,3
428,Car Run Over People,17:29,Speeding,2,3
429,Car Cluelessness,17:30,Contempt traffic signal,2,3
430,Car Crash,14:48,Contempt traffic signal,1,1
431,Car Crash,10:45,Contempt traffic signal,3,2
432,Car Crash,03:10,Ebriedad del conductor,2,3
433,Car Crash,03:00,Contempt traffic signal,2,2
434,People Falls,21:20,,2,1
435,Car Crash,12:16,Speeding,5,2
436,Car Crash,13:30,Contempt traffic signal,1,3
437,Car Crash,09:55,Contempt traffic signal,1,4
438,Car Crash,01:30,Contempt traffic signal,1,1
439,Car Crash,14:30,Contempt traffic signal,2,2
440,Car Crash,08:20,Contempt traffic signal,1,2
441,Car Crash,14:08,Driver Recklessness,3,2
442,Car Crash,16:35,Speeding,4,1
443,Car Crash,21:17,Driver Recklessness,3,2
444,Car Crash,07:42,Driver Recklessness,3,3
445,Car Crash,15:12,Speeding,5,2
446,Car Cluelessness,19:14,Speeding,5,3
447,Car Crash,21:39,Speeding,5,1
467,People Falls,15:34,,5,2
468,Car Crash,16:08,Speeding,4,4
469,Car Crash,17:44,Driver Recklessness,2,5
470,Car Crash,09:42,Driver Recklessness,4,3
471,Car Crash,10:16,Driver Recklessness,1,1
472,Car Crash,11:19,Speeding,2,5
473,Car Crash,17:06,Speeding,1,3
474,Car Crash,18:50,Driver Recklessness,5,2
475,Car Crash,19:15,Speeding,3,2
476,Car Crash,20:22,Driver Recklessness,4,3
477,Car Crash,20:28,Driver Recklessness,4,2
478,Car Crash,07:10,Speeding,2,2
479,Car Crash,12:30,Speeding,2,7
480,Car Crash,20:01,Driver Recklessness,2,6
481,Car Crash,19:08,Driver Recklessness,1,5
482,Car Crash,13:25,Driver Recklessness,4,2
483,Car Crash,14:03,Speeding,1,2
484,Car Crash,15:06,Driver Recklessness,3,3
485,"Flood",23:11,,4,3
486,Car Cluelessness,07:08,Speeding,5,3
487,Car Crash,12:05,Driver Recklessness,2,2
488,Car Crash,12:52,Speeding,4,2
489,Car Crash,13:30,Driver Recklessness,3,1
490,"Flood",21:23,,4,3
491,Car Crash,13:26,Speeding,1,1
492,Car Crash,09:46,Driver Recklessness,1,6
493,Car Crash,12:28,Speeding,5,4
494,Car Crash,13:55,Speeding,4,3
495,Car Crash,07:30,Contempt traffic signal,2,7
496,People Falls,08:22,,3,3
497,Car Crash,09:15,Speeding,2,1
498,"Flood",10:05,,4,4
499,Car Crash,10:24,Speeding,1,6
500,Car Crash,10:32,Speeding,1,4
501,Car Crash,10:53,Speeding,3,3
502,Car Crash,11:40,Speeding,1,1
503,People Falls,14:20,,1,3
504,People Falls,14:51,,1,1
505,Car Crash,07:48,Driver Recklessness,1,1
506,Car Crash,08:12,Speeding,4,2
507,Car Crash,08:40,Driver Recklessness,1,6
508,Car Crash,08:49,Driver Recklessness,3,3
510,Car Crash,11:15,Driver Recklessness,3,3
511,"Fires",11:20,,3,1
512,Car Cluelessness,12:48,Driver Recklessness,2,7
513,Car Crash,13:35,Driver Recklessness,4,3
514,Car Crash,09:08,Driver Recklessness,5,1
515,Car Crash,11:06,Speeding,2,5
516,Car Crash,13:11,Driver Recklessness,4,4
517,Car Crash,15:26,Driver Recklessness,4,3
518,Car Crash,23:16,Driver Recklessness,1,2
520,Car Crash,23:33,Speeding,3,2
521,Car Run Over People,07:03,Driver Recklessness,2,2
522,Car Cluelessness,05:19,Speeding,5,4
523,Car Crash,08:34,Driver Recklessness,2,6
524,Breakdown Voltage,01:01,,1,1
525,Car Run Over People,22:14,Ebriedad del conductor,4,1
535,Car Crash,15:18,Speeding,2,2
